국가명,국가코드KOICA,국가코드DAC,국가코드ISO_numeric,국가코드ISO_alpha2,국가코드ISO_alpha3
가봉,3322,239,266,GA,GAB
가이아나,5364,446,328,GY,GUY
감비아,3325,240,270,GM,GMB
그레나다,5346,381,308,GD,GRD
기니,3358,243,324,GN,GIN
기니비사우,3361,244,624,GW,GNB
나미비아,3529,275,516,NA,NAM
나우루,6532,845,520,NR,NRU
남수단,7795,279,728,SS,SSD
남아프리카공화국,3658,218,710,ZA,ZAF
니우에,6559,856,570,NU,NIU
니제르,3553,260,562,NE,NER
니카라과,5550,364,558,NI,NIC
레바논,2439,555,422,LB,LBN
레소토,3442,249,426,LS,LSO
리비아,3448,133,434,LY,LBY
마다가스카르,3466,252,450,MG,MDG
마샬군도,6464,859,584,MH,MHL
마이크로네시아,6505,860,583,FM,FSM
말라위,3469,253,454,MW,MWI
말리,3478,255,466,ML,MLI
멕시코,5502,358,484,MX,MEX
모리셔스,3493,257,480,MU,MUS
모리타니,3490,256,478,MR,MRT
몰디브,1475,655,462,MV,MDV
바누아투,6766,854,548,VU,VUT
베냉,3169,236,204,BJ,BEN
베네수엘라,5772,463,862,VE,VEN
벨리즈,5166,352,084,BZ,BLZ
보츠와나,3187,227,072,BW,BWA
부룬디,3205,228,108,BI,BDI
부르키나파소,3202,287,854,BF,BFA
부탄,1175,630,064,BT,BTN
브라질,5190,431,076,BR,BRA
사모아,6784,880,882,WS,WSM
상투메프린시페,3625,268,678,ST,STP
세인트루시아,5679,383,662,LC,LCA
세인트빈센트,5685,384,670,VC,VCT
소말리아,3655,273,706,SO,SOM
솔로몬군도,6652,866,090,SB,SLB
수단,3688,278,729,SD,SDN
수리남,5691,457,740,SR,SUR
시리아,2706,573,760,SY,SYR
시에라리온,3640,272,694,SL,SLE
아르헨티나,5130,425,032,AR,ARG
아이티,5367,349,332,HT,HTI
앙골라,3118,225,024,AO,AGO
에리트레아,3299,271,232,ER,ERI
예멘,2787,580,887,YE,YEM
온두라스,5370,351,340,HN,HND
이란,2388,540,364,IR,IRN
자메이카,5406,354,388,JM,JAM
잠비아,3796,288,894,ZM,ZMB
적도기니,3298,245,226,GQ,GNQ
중앙아프리카,3223,231,140,CF,CAF
