Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,633263617,8124.451062323379,2220499,28.487876099532823,188389,6594491,84.60397529901353,7252,0.09303948232978797,544,
United States of America,Americas,96752266,29230.058,281955,85.182,0,1064975,321.742,2323,0.702,0
India,South-East Asia,44667311,3236.751,3343,0.242,635,530546,38.445,32,0.002,11
France,Europe,36167465,55608.582,175240,269.437,34681,154403,237.399,381,0.586,71
Germany,Europe,36152490,43469.905,166394,200.073,23861,156192,187.806,66,0.079,6
Brazil,Americas,34923127,16429.819,54974,25.863,2073,688702,324.004,215,0.101,8
Republic of Korea,Western Pacific,26412901,51518.082,375881,733.152,55437,29862,58.246,331,0.646,67
The United Kingdom,Europe,23954196,35285.913,1314,1.936,0,195530,288.027,0,0,0
Italy,Europe,23823192,39943.993,28196,47.276,0,179985,301.778,65,0.109,0
Japan,Western Pacific,23426796,18522.653,549136,434.18,0,47826,37.814,490,0.387,111
Russian Federation,Europe,21520021,14746.36,36501,25.012,5680,391273,268.116,438,0.3,61
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13551539,28630.447,21896,46.26,0,115357,243.716,118,0.249,0
Viet Nam,Western Pacific,11509975,11824.68,2851,2.929,502,43167,44.347,1,0.001,1
Australia,Western Pacific,10456663,41006.708,0,0,0,15068,59.09,0,0,0
Argentina,Americas,9721718,21510.237,1486,3.288,0,130011,287.662,8,0.018,0
China,Western Pacific,9395804,638.611,162274,11.029,27183,29503,2.005,466,0.032,77
Netherlands,Europe,8531447,49009.94,4982,28.62,0,22886,131.471,24,0.138,0
Iran (Islamic Republic of),Eastern Mediterranean,7559001,8999.566,311,0.37,0,144613,172.173,8,0.01,0
Mexico,Americas,7118933,5521.431,1783,1.383,0,330444,256.292,7,0.005,0
Indonesia,South-East Asia,6590113,2409.34,45912,16.785,7822,159291,58.237,302,0.11,38
Poland,Europe,6348022,16723.744,2342,6.17,432,118252,311.533,47,0.124,10
Colombia,Americas,6311359,12403.696,1027,2.018,0,141862,278.801,12,0.024,0
Portugal,Europe,5529977,53710.43,0,0,0,25305,245.777,0,0,0
Austria,Europe,5502186,61814.925,24840,279.068,4821,21116,237.23,37,0.416,3
Ukraine,Europe,5329536,12186.32,7317,16.731,0,110403,252.443,103,0.236,0
Greece,Europe,5306482,49507.392,56194,524.268,0,34024,317.431,136,1.269,0
Malaysia,Western Pacific,4956722,15314.596,19702,60.873,3304,36574,113.001,60,0.185,8
Chile,Americas,4852337,25383.375,41563,217.423,6589,62052,324.604,182,0.952,7
Israel,Europe,4701866,54322.035,8143,94.078,1218,11810,136.444,12,0.139,0
Thailand,South-East Asia,4698373,6731.196,3166,4.536,0,33037,47.331,42,0.06,0
Belgium,Europe,4624251,40132.567,1356,11.768,0,33000,286.398,24,0.208,0
Canada,Americas,4377070,11597.298,18819,49.862,0,47118,124.842,309,0.819,0
Switzerland,Europe,4276839,49416.843,12115,139.983,0,13692,158.205,5,0.058,0
Peru,Americas,4175383,12663.477,12057,36.568,2559,217203,658.753,100,0.303,3
Czechia,Europe,4167299,38968.793,3213,30.045,559,41743,390.343,39,0.365,2
South Africa,Africa,4035522,6804.268,3898,6.572,0,102371,172.607,0,0,0
Philippines,Western Pacific,4020965,3669.397,8193,7.477,810,64432,58.798,110,0.1,12
