국가별,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
국가별,의사,#NAME?,약사,#NAME?,치과의사,#NAME?,간호사,#NAME?,의사,#NAME?,약사,#NAME?,치과의사,#NAME?,간호사,#NAME?,의사,#NAME?,약사,#NAME?,치과의사,#NAME?,간호사,#NAME?
아시아,,,,,,,,,,,,,,,,,,,,,,,,
대한민국,127258,2.46,38941,0.75,26486,0.51,410694,7.93,130014,2.51,39765,0.77,26978,0.52,433993,8.37,,,,,,,,
중국,3210515,2.24,,,,,4445047,3.1,3401672,2.36,,,,,4708717,3.27,,,,,,,,
인도,1234205,0.9,,,,,,,,,,,,,,,,,,,,,,
인도네시아,125862,0.47,,,,,578078,2.17,170338,0.63,,,,,615829,2.28,,,,,,,,
이스라엘,29803,3.29,8500,0.94,7500,0.83,45400,5.01,30529,3.31,8300,0.9,8000,0.87,47400,5.14,,,,,,,,
일본,,,,,,,,,327403,2.6,250585,1.99,104152,0.83,1526740,12.1,,,,,,,,
북아메리카,,,,,,,,,,,,,,,,,,,,,,,,
캐나다,102850,2.74,38966,1.04,24590,0.65,375312,9.98,103739,2.73,39468,1.04,24693,0.65,382839,10.06,106042,2.77,,,,,,
멕시코,309414,2.44,,,16870,0.13,360210,2.85,307497,2.41,,,14528,0.11,372464,2.91,,,,,,,,
미국,866316,2.64,,,,,,,,,,,,,,,,,,,,,,
남아메리카,,,,,,,,,,,,,,,,,,,,,,,,
아르헨티나,182189,4.05,,,,,,,183475,4.04,,,,,,,,,,,,,,
브라질,413559,1.97,,,,,267729,1.27,433311,2.05,,,,,301558,1.42,459080,2.15,,,,,331630,1.55
유럽,,,,,,,,,,,,,,,,,,,,,,,,
오스트리아,47224,5.32,6479,0.73,5143,0.58,92115,10.37,47674,5.35,6516,0.73,5206,0.58,93477,10.48,48705,5.45,,,,,,
벨기에,36343,3.16,14554,1.27,8697,0.76,,,37089,3.21,14842,1.29,8871,0.77,,,,,,,,,,
체코,43399,4.07,7686,0.72,7825,0.73,91354,8.56,43810,4.1,7594,0.71,7914,0.74,92664,8.66,,,,,,,,
덴마크,24715,4.25,2577,0.44,4190,0.72,58910,10.13,,,,,,,,,,,,,,,,
에스토니아,4603,3.47,951,0.72,1303,0.98,8279,6.24,4626,3.48,968,0.73,1336,1,8484,6.38,,,,,,,,
프랑스,213201,3.16,69078,1.03,42559,0.63,,,214315,3.17,68621,1.02,42844,0.63,,,,,,,,,,
독일,365100,4.39,55415,0.67,71048,0.86,980000,11.79,371556,4.47,55673,0.67,71108,0.86,1003000,12.06,376873,4.53,,,,,,
그리스,,,,,,,36251,3.38,,,,,,,,,,,,,,,,
헝가리,34137,3.49,8123,0.83,7145,0.73,64722,6.62,30610,3.14,7645,0.78,6578,0.67,64197,6.58,31951,3.28,,,,,64127,6.59
아이슬란드,1404,3.89,194,0.54,285,0.79,5539,15.36,,,208,0.57,290,0.79,5727,15.63,,,,,,,,
아일랜드,16366,3.32,5299,1.07,,,,,17231,3.46,,,,,,,20256,4.05,,,,,64072,12.8
이탈리아,241945,4.05,75000,1.26,51954,0.87,367684,6.16,237844,4,73833,1.24,51678,0.87,373064,6.28,244441,4.13,73593,1.24,50993,0.86,370887,6.26
라트비아,6253,3.27,1613,0.84,1364,0.71,8402,4.39,6346,3.34,1644,0.87,1362,0.72,7952,4.18,,,1651,0.87,,,,
리투아니아,12768,4.57,2875,1.03,2946,1.05,21629,7.74,12529,4.48,2868,1.03,3100,1.11,21818,7.81,,,,,,,,
네덜란드,65121,3.75,3722,0.21,9801,0.57,186801,10.77,66870,3.83,3774,0.22,9879,0.57,193206,11.08,,,,,,,,
노르웨이,26572,4.97,4591,0.86,4845,0.91,95624,17.88,27361,5.09,4748,0.88,4903,0.91,96900,18.01,27925,5.18,4939,0.92,5020,0.93,99065,18.37
포르투갈,,,9586,0.93,,,,,,,9815,0.95,,,,,,,,,,,,
러시아,610249,4.16,,,,,1244755,8.48,,,,,,,,,,,,,,,,
슬로베니아,6812,3.26,1516,0.73,1514,0.72,21464,10.28,6944,3.3,1557,0.74,1570,0.75,22002,10.47,,,,,,,,
스페인,207565,4.4,58133,1.23,,,277633,5.89,216766,4.58,62333,1.32,,,289100,6.1,,,,,,,,
스웨덴,44046,4.29,8159,0.79,8003,0.78,111533,10.85,,,,,,,,,,,,,,,,
스위스,37300,4.35,5769,0.67,3481,0.41,154004,17.96,37911,4.39,,,,,158714,18.37,38613,4.45,,,,,,
영국,196784,2.95,58239,0.87,35568,0.53,547661,8.2,203529,3.03,57218,0.85,36394,0.54,567803,8.46,213839,3.18,,,34673,0.51,584359,8.68
아프리카,,,,,,,,,,,,,,,,,,,,,,,,
남아프리카공화국,46393,0.79,,,,,64638,1.1,,,,,,,61028,1.03,,,,,,,,
오세아니아,,,,,,,,,,,,,,,,,,,,,,,,
오스트레일리아,97039,3.83,22599,0.89,15517,0.61,309906,12.22,100260,3.9,23446,0.91,15667,0.61,315017,12.26,,,,,,,,
뉴질랜드,16813,3.38,3489,0.7,,,50976,10.24,17448,3.43,3652,0.72,,,53933,10.6,18037,3.53,3698,0.72,2644,0.52,55802,10.91
