국가별,2017,2018,2019,2020,2021
아시아,,,,,
대한민국,1607,1606,1574,1592,-
이스라엘,773,769,727,806,808
일본,1310,1171,1065,892,-
튀르키예,1073.7,1178.2,1179.5,1182.4,-
북아메리카,,,,,
미국,1115,1061,1004,1004,-
남아메리카,,,,,
코스타리카,200.6,171.7,146.9,128.6,108
유럽,,,,,
체코,2345,2367,2329,2256,-
덴마크,1339,1113,1196,979,-
핀란드,829,734,575,674,-
프랑스,994,905,841,850,739.6
독일,1523,1507,1503,1556,-
그리스,1107.7,1070.1,959.8,871.6,-
헝가리,1404,1521,1521,1521,-
아이슬란드,859.7,-,-,-,-
아일랜드,1077,539.4,804.4,741.7,781.8
노르웨이,761,793,776,893,1115
폴란드,-,-,1205,-,-
스페인,1477.5,1469.8,1472.8,1486.5,1486
스위스,1331,1271,1228,1268,-
영국,591.2,446,420.6,-,-
오세아니아,,,,,
오스트레일리아,677.3,647,690.5,549.3,-
뉴질랜드,623,586,-,-,-
